response_id;birth_year;gender;seniority;industry;household;metro_regional;remote_frequency;remote_preference;collaboration_easy;promotion_reduced;regular_breaks;remote_employer_advantages;remote_with_paycut;barrier_caring_responsibility;barrier_connectivity;barrier_systems_software;barrier_collaboration_remotely;barrier_poor_management;barrier_equipment;barrier_isolation;barrier_costs;barrier_cyber_security;barrier_non_remote_tasks;barrier_workspace;barrier_motivation;barrier_management;barrier_living_situation;barrier_skills;barrier_health_safety;biggest_barrier_hybrid;smallest_barrier_hybrid;remote_feel_better;remote_more_active;colleagues_in_person;productivity
1;1976;Male;More than 5 years;Other Services;Couple with dependent children;Metro;50% - I spent about half of my time remote working;80%;Somewhat agree;Somewhat disagree;Somewhat disagree;Strongly Positive;No;Somewhat improved;Somewhat improved;Stayed about the same;Somewhat improved;Somewhat improved;Somewhat improved;Somewhat improved;Somewhat improved;Stayed about the same;Somewhat improved;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Somewhat improved;Somewhat improved;Noisy work environment;Lack of privacy;Strongly agree;Somewhat agree;Neither agree nor disagree;I知 50% more productive when working remotely (or more)
2;1971;Male;More than 5 years;Construction;Couple with no dependent children;Metro;Less than 10% of my time;50% - About half of my time;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Somewhat Negative;No;Somewhat improved;Somewhat improved;Somewhat improved;Somewhat improved;Somewhat improved;Somewhat improved;Somewhat improved;Somewhat improved;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Interruptions;Noisy work environment;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;I知 50% more productive when working remotely (or more)
3;1978;Female;Between 6 and 12 months;Financial and Insurance;Single person;Metro;90%;90%;Strongly agree;Strongly disagree;Strongly agree;Somewhat Positive;Yes;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Not a barrier for me;Somewhat improved;Somewhat improved;Stayed about the same;Somewhat improved;Somewhat improved;Stayed about the same;NA;NA;Somewhat agree;Neither agree nor disagree;Somewhat disagree;My productivity is about same when I work remotely
4;1962;Female;Between 1 and 5 years;Health Care and Social Assistance;One parent family with dependent children;Regional;40%;40%;Neither agree nor disagree;Somewhat disagree;Somewhat disagree;Somewhat Negative;No;Somewhat improved;Somewhat improved;Somewhat improved;Stayed about the same;Stayed about the same;Stayed about the same;Significantly worsened;Significantly worsened;Not a barrier for me;Significantly worsened;Significantly worsened;Significantly worsened;Significantly worsened;Significantly worsened;Significantly worsened;Significantly worsened;Difficulty collaborating with remote colleagues;Lack of privacy;Somewhat agree;Somewhat agree;Somewhat agree;I知 50% more productive when working remotely (or more)
5;1974;Male;More than 5 years;Financial and Insurance;Couple with dependent children;Regional;100% - I spent all of my time remote working;100% - All of my time;Strongly agree;Neither agree nor disagree;Somewhat agree;Strongly Positive;No;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Somewhat worsened;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Somewhat worsened;Stayed about the same;Stayed about the same;Stayed about the same;NA;NA;Strongly agree;Somewhat agree;Neither agree nor disagree;I知 20% more productive when working remotely
6;1985;Male;Between 1 and 5 years;Manufacturing;Couple with dependent children;Metro;50% - I spent about half of my time remote working;50% - About half of my time;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Somewhat Negative;No;Stayed about the same;Somewhat worsened;Stayed about the same;Somewhat worsened;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Somewhat worsened;Stayed about the same;Stayed about the same;Somewhat worsened;Stayed about the same;Somewhat worsened;Stayed about the same;Noisy work environment;Interruptions;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;I知 20% more productive when working remotely
7;1973;Male;More than 5 years;Public Administration and Safety;Couple with dependent children;Metro;80%;100% - All of my time;Somewhat agree;Somewhat disagree;Somewhat agree;Somewhat Positive;No;Somewhat improved;Somewhat improved;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Somewhat improved;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Difficulty collaborating with remote colleagues;Lack of privacy;Somewhat agree;Somewhat agree;Somewhat agree;I知 10% more productive when working remotely
8;1992;Female;Between 1 and 5 years;Administrative and Support;Couple with no dependent children;Metro;100% - I spent all of my time remote working;100% - All of my time;Somewhat agree;Somewhat disagree;Somewhat agree;Neither positive nor negative;No;Stayed about the same;Stayed about the same;Stayed about the same;Not a barrier for me;Not a barrier for me;Stayed about the same;Not a barrier for me;Not a barrier for me;Stayed about the same;Not a barrier for me;Stayed about the same;Stayed about the same;Not a barrier for me;Stayed about the same;Not a barrier for me;Stayed about the same;NA;NA;Somewhat agree;Somewhat agree;Neither agree nor disagree;I知 20% more productive when working remotely
9;1970;Female;More than 5 years;Administrative and Support;One parent family with dependent children;Metro;50% - I spent about half of my time remote working;50% - About half of my time;Neither agree nor disagree;Neither agree nor disagree;Somewhat agree;Somewhat Negative;Yes;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Significantly improved;Stayed about the same;Stayed about the same;Somewhat worsened;Stayed about the same;Stayed about the same;Somewhat improved;Somewhat improved;Stayed about the same;Somewhat improved;Somewhat improved;Significantly improved;Interruptions;Lack of privacy;Strongly agree;Somewhat agree;Strongly disagree;I知 50% less productive when working remotely (or worse)
10;1981;Female;Between 1 and 5 years;Other Services;Couple with no dependent children;Metro;90%;100% - All of my time;Strongly agree;Neither agree nor disagree;Somewhat disagree;Somewhat Positive;No;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;NA;NA;Strongly agree;Strongly agree;Strongly disagree;I知 50% more productive when working remotely (or more)
11;1980;Female;Between 1 and 5 years;Electricity, Gas, Water and Waste;Group household;Metro;80%;80%;Somewhat agree;Somewhat disagree;Somewhat agree;Strongly Positive;No;Somewhat improved;Somewhat improved;Somewhat improved;Stayed about the same;Somewhat improved;Somewhat improved;Somewhat improved;Somewhat improved;Somewhat improved;Somewhat improved;Somewhat improved;Somewhat improved;Stayed about the same;Significantly improved;Somewhat improved;Somewhat improved;NA;NA;Somewhat agree;Somewhat agree;Somewhat agree;I知 50% more productive when working remotely (or more)
12;1959;Male;Between 1 and 5 years;Construction;Couple with dependent children;Metro;10%;10%;Neither agree nor disagree;Somewhat agree;Somewhat agree;Somewhat Negative;No;Somewhat improved;Stayed about the same;Stayed about the same;Stayed about the same;Somewhat improved;Stayed about the same;Stayed about the same;Stayed about the same;Somewhat improved;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Somewhat improved;Somewhat improved;Lack of privacy;Noisy work environment;Somewhat agree;Neither agree nor disagree;Somewhat agree;I知 20% more productive when working remotely
13;1992;Female;Between 6 and 12 months;Other Services;Couple with dependent children;Metro;50% - I spent about half of my time remote working;50% - About half of my time;Strongly agree;Strongly agree;Strongly agree;Strongly Positive;No;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;NA;NA;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;I知 10% less productive when working remotely
14;1968;Female;More than 5 years;Administrative and Support;Couple with no dependent children;Metro;50% - I spent about half of my time remote working;20%;Somewhat disagree;Neither agree nor disagree;Somewhat agree;Strongly Negative;No;Not a barrier for me;Significantly worsened;Significantly worsened;Significantly worsened;Significantly worsened;Significantly worsened;Significantly worsened;Somewhat improved;Significantly worsened;Significantly worsened;Significantly worsened;Somewhat worsened;Not a barrier for me;Not a barrier for me;Somewhat worsened;Somewhat improved;Difficulty collaborating with remote colleagues;Lack of privacy;Strongly disagree;Strongly disagree;Strongly agree;I知 20% less productive when working remotely
15;1976;Male;More than 5 years;Professional, Scientific and Technical;Single person;Metro;80%;70%;Somewhat agree;Somewhat agree;Strongly agree;Neither positive nor negative;No;Somewhat improved;Somewhat improved;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Somewhat worsened;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Interruptions;Difficulty collaborating with remote colleagues;Somewhat agree;Somewhat agree;Somewhat agree;I知 40% more productive when working remotely
16;1973;Male;More than 5 years;Education and Training;Single person;Metro;10%;20%;Somewhat disagree;Neither agree nor disagree;Somewhat agree;Somewhat Negative;No;Somewhat worsened;Somewhat worsened;Somewhat worsened;Somewhat worsened;Somewhat worsened;Somewhat worsened;Somewhat worsened;Somewhat worsened;Somewhat worsened;Somewhat worsened;Somewhat worsened;Somewhat worsened;Stayed about the same;Somewhat worsened;Stayed about the same;Somewhat worsened;Difficulty collaborating with remote colleagues;Interruptions;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;I知 50% more productive when working remotely (or more)
17;1972;Female;Between 1 and 5 years;Retail Trade;One parent family with dependent children;Regional;20%;20%;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat Positive;No;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Noisy work environment;Interruptions;Neither agree nor disagree;Neither agree nor disagree;Somewhat agree;I知 50% more productive when working remotely (or more)
18;1977;Female;More than 5 years;Administrative and Support;Couple with dependent children;Regional;10%;Less than 10% of my time;Strongly agree;Strongly agree;Strongly agree;Somewhat Positive;Yes;Somewhat improved;Stayed about the same;Somewhat improved;Stayed about the same;Stayed about the same;Somewhat improved;Stayed about the same;Stayed about the same;Stayed about the same;Somewhat improved;Stayed about the same;Stayed about the same;Stayed about the same;Somewhat improved;Somewhat improved;Somewhat improved;Difficulty collaborating with remote colleagues;Interruptions;Somewhat agree;Strongly agree;Somewhat agree;I知 10% more productive when working remotely
19;1978;Male;More than 5 years;Construction;Couple with dependent children;Metro;20%;20%;Strongly agree;Neither agree nor disagree;Somewhat agree;Strongly Positive;Yes;Somewhat improved;Somewhat improved;Somewhat improved;Somewhat improved;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Somewhat improved;Stayed about the same;Stayed about the same;Lack of privacy;Noisy work environment;Somewhat agree;Somewhat agree;Neither agree nor disagree;I知 10% more productive when working remotely
20;1995;Female;Between 1 and 5 years;Retail Trade;Other one family household;Metro;80%;100% - All of my time;Somewhat agree;Neither agree nor disagree;Somewhat agree;Somewhat Positive;No;Not a barrier for me;Somewhat worsened;Somewhat worsened;Not a barrier for me;Not a barrier for me;Somewhat worsened;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Significantly worsened;Somewhat improved;Not a barrier for me;Somewhat worsened;Not a barrier for me;Somewhat improved;Interruptions;Noisy work environment;Strongly agree;Strongly agree;Somewhat disagree;I知 20% more productive when working remotely
21;1980;Female;Between 6 and 12 months;Construction;Couple with dependent children;Metro;20%;20%;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat Positive;Yes;Somewhat improved;Somewhat improved;Significantly improved;Somewhat improved;Somewhat improved;Somewhat improved;Somewhat improved;Stayed about the same;Stayed about the same;Somewhat improved;Significantly improved;Somewhat improved;Somewhat improved;Significantly improved;Somewhat improved;Somewhat improved;Noisy work environment;Difficulty collaborating with remote colleagues;Somewhat agree;Somewhat agree;Somewhat agree;I知 50% more productive when working remotely (or more)
22;1978;Male;More than 5 years;Accommodation and Food;Couple with dependent children;Regional;30%;30%;Strongly agree;Somewhat agree;Somewhat agree;Strongly Positive;No;Significantly improved;Somewhat improved;Somewhat improved;Somewhat improved;Significantly improved;Somewhat improved;Significantly improved;Significantly improved;Somewhat improved;Significantly improved;Stayed about the same;Somewhat improved;Somewhat improved;Somewhat improved;Stayed about the same;Stayed about the same;NA;NA;Strongly agree;Somewhat agree;Somewhat agree;I知 30% more productive when working remotely
23;1976;Male;More than 5 years;Wholesale Trade;Couple with dependent children;Metro;50% - I spent about half of my time remote working;20%;Somewhat agree;Somewhat agree;Somewhat disagree;Somewhat Negative;Yes;Somewhat worsened;Stayed about the same;Stayed about the same;Somewhat worsened;Somewhat worsened;Stayed about the same;Stayed about the same;Somewhat worsened;Stayed about the same;Somewhat worsened;Somewhat worsened;Somewhat worsened;Stayed about the same;Stayed about the same;Stayed about the same;Somewhat worsened;Interruptions;Lack of privacy;Neither agree nor disagree;Somewhat agree;Somewhat disagree;I知 30% more productive when working remotely
24;1961;Male;More than 5 years;Wholesale Trade;Couple with no dependent children;Metro;90%;90%;Strongly agree;Strongly disagree;Somewhat agree;Strongly Positive;Yes;Somewhat improved;Somewhat improved;Stayed about the same;Somewhat improved;Not a barrier for me;Somewhat improved;Somewhat improved;Significantly improved;Not a barrier for me;Not a barrier for me;Significantly improved;Significantly improved;Stayed about the same;Not a barrier for me;Not a barrier for me;Significantly improved;NA;NA;Strongly agree;Strongly agree;Strongly disagree;I知 50% more productive when working remotely (or more)
25;1965;Female;Between 1 and 5 years;Education and Training;Couple with dependent children;Metro;100% - I spent all of my time remote working;100% - All of my time;Strongly agree;Strongly agree;Strongly agree;Strongly Positive;Yes;Significantly improved;Significantly improved;Significantly improved;Somewhat improved;Somewhat improved;Somewhat improved;Somewhat improved;Somewhat improved;Somewhat improved;Somewhat improved;Somewhat improved;Somewhat improved;Somewhat improved;Somewhat improved;Somewhat improved;Somewhat improved;NA;NA;Strongly agree;Strongly agree;Strongly agree;I知 50% more productive when working remotely (or more)
26;1959;Male;Between 1 and 5 years;Wholesale Trade;Couple with dependent children;Metro;100% - I spent all of my time remote working;100% - All of my time;Somewhat agree;Neither agree nor disagree;Somewhat agree;Strongly Positive;No;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Somewhat worsened;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Noisy work environment;Interruptions;Strongly agree;Strongly agree;Somewhat agree;My productivity is about same when I work remotely
27;1964;Female;More than 5 years;Wholesale Trade;Couple with dependent children;Metro;20%;50% - About half of my time;Strongly agree;Neither agree nor disagree;Strongly agree;Somewhat Positive;No;Stayed about the same;Somewhat worsened;Stayed about the same;Stayed about the same;Stayed about the same;Somewhat worsened;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Somewhat worsened;Stayed about the same;Stayed about the same;Somewhat improved;NA;NA;Somewhat agree;Somewhat agree;Strongly agree;I知 30% more productive when working remotely
28;1989;Male;Between 1 and 5 years;Wholesale Trade;Couple with dependent children;Metro;20%;10%;Somewhat agree;Somewhat agree;Neither agree nor disagree;Somewhat Positive;Yes;Somewhat improved;Stayed about the same;Stayed about the same;Stayed about the same;Somewhat improved;Stayed about the same;Somewhat improved;Stayed about the same;Somewhat improved;Stayed about the same;Stayed about the same;Somewhat improved;Somewhat improved;Somewhat improved;Stayed about the same;Somewhat improved;NA;NA;Somewhat agree;Somewhat agree;Strongly agree;I知 30% more productive when working remotely
29;1975;Female;More than 5 years;Financial and Insurance;Couple with no dependent children;Metro;30%;70%;Strongly agree;Strongly agree;Strongly agree;Strongly Positive;Yes;Significantly improved;Somewhat improved;Significantly improved;Significantly improved;Somewhat improved;Significantly improved;Significantly improved;Not a barrier for me;Significantly improved;Somewhat improved;Stayed about the same;Significantly improved;Significantly improved;Somewhat improved;Stayed about the same;Significantly improved;Noisy work environment;Interruptions;Strongly agree;Strongly agree;Strongly agree;I知 40% more productive when working remotely
30;1987;Female;More than 5 years;Financial and Insurance;Couple with dependent children;Metro;100% - I spent all of my time remote working;100% - All of my time;Somewhat agree;Somewhat agree;Somewhat agree;Strongly Positive;Yes;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Somewhat worsened;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Somewhat improved;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;NA;NA;Strongly agree;Strongly agree;Somewhat disagree;I知 20% more productive when working remotely
31;1975;Female;Between 1 and 5 years;Other Services;One parent family with dependent children;Regional;10%;50% - About half of my time;Somewhat agree;Strongly disagree;Neither agree nor disagree;Strongly Positive;No;Stayed about the same;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Stayed about the same;Stayed about the same;Somewhat worsened;Not a barrier for me;Stayed about the same;Not a barrier for me;Stayed about the same;Interruptions;Difficulty collaborating with remote colleagues;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;My productivity is about same when I work remotely
32;1979;Female;Between 1 and 5 years;Information Media and Telecommunications;Couple with no dependent children;Metro;100% - I spent all of my time remote working;100% - All of my time;Strongly agree;Somewhat agree;Strongly disagree;Somewhat Positive;No;Stayed about the same;Somewhat improved;Somewhat improved;Somewhat worsened;Stayed about the same;Stayed about the same;Stayed about the same;Somewhat worsened;Stayed about the same;Not a barrier for me;Stayed about the same;Somewhat worsened;Not a barrier for me;Stayed about the same;Not a barrier for me;Significantly worsened;NA;NA;Neither agree nor disagree;Neither agree nor disagree;Somewhat agree;I知 30% more productive when working remotely
33;1983;Female;Between 6 and 12 months;Construction;Couple with dependent children;Metro;30%;20%;Somewhat agree;Neither agree nor disagree;Somewhat agree;Somewhat Positive;Yes;Significantly worsened;Somewhat worsened;Somewhat worsened;Somewhat worsened;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Significantly worsened;Stayed about the same;Stayed about the same;Somewhat worsened;Significantly worsened;Somewhat worsened;Somewhat worsened;Significantly worsened;NA;NA;Strongly agree;Somewhat agree;Somewhat agree;I知 10% more productive when working remotely
34;1974;I would rather not say;More than 5 years;Professional, Scientific and Technical;Multiple family household;Metro;60%;100% - All of my time;Somewhat agree;Strongly disagree;Somewhat disagree;Somewhat Positive;No;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Stayed about the same;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Interruptions;Noisy work environment;Neither agree nor disagree;Somewhat agree;Neither agree nor disagree;I知 20% more productive when working remotely
35;1967;Male;More than 5 years;Rental, Hiring and Real Estate;Other one family household;Regional;20%;20%;Somewhat disagree;Neither agree nor disagree;Neither agree nor disagree;Neither positive nor negative;No;Somewhat improved;Stayed about the same;Stayed about the same;Somewhat worsened;Stayed about the same;Stayed about the same;Somewhat worsened;Stayed about the same;Stayed about the same;Somewhat worsened;Stayed about the same;Somewhat worsened;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Interruptions;Lack of privacy;Somewhat disagree;Somewhat disagree;Somewhat agree;I知 20% less productive when working remotely
36;1967;Male;More than 5 years;Manufacturing;Couple with dependent children;Metro;80%;50% - About half of my time;Somewhat agree;Somewhat disagree;Somewhat agree;Somewhat Positive;No;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Somewhat improved;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Somewhat improved;Stayed about the same;Stayed about the same;Stayed about the same;Somewhat improved;Stayed about the same;Somewhat improved;Difficulty collaborating with remote colleagues;Lack of privacy;Somewhat agree;Neither agree nor disagree;Somewhat agree;I知 10% less productive when working remotely
37;1960;Male;More than 5 years;Other Services;Couple with no dependent children;Metro;20%;70%;Strongly agree;Neither agree nor disagree;Strongly disagree;Strongly Positive;No;Stayed about the same;Stayed about the same;Somewhat improved;Somewhat improved;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Not a barrier for me;Not a barrier for me;Stayed about the same;Stayed about the same;Not a barrier for me;Not a barrier for me;Not a barrier for me;NA;NA;Somewhat agree;Somewhat agree;Neither agree nor disagree;I知 50% more productive when working remotely (or more)
38;1982;Male;More than 5 years;Transport, Postal and Warehousing;Couple with no dependent children;Metro;40%;60%;Somewhat agree;Somewhat disagree;Somewhat agree;Strongly Positive;No;Somewhat improved;Somewhat improved;Somewhat improved;Significantly worsened;Significantly worsened;Stayed about the same;Somewhat worsened;Somewhat improved;Somewhat worsened;Somewhat worsened;Somewhat improved;Somewhat improved;Stayed about the same;Somewhat improved;Stayed about the same;Somewhat improved;Difficulty collaborating with remote colleagues;Interruptions;Strongly agree;Strongly agree;Somewhat disagree;I知 50% more productive when working remotely (or more)
